,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Unemp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
0,Allerton-Pelham Gardens,14091,0.477,0.523,40.5,0.314,0.26,0.313,0.085,0.083,61638,0.909,0.129,0.453,0.38,0.217,0.248,0.037,0.131,0.642
1,Annadale-Huguenot-Prince's Bay-Eltingville,9225,0.505,0.495,41.3,0.063,0.895,0.005,0.03,0.033,88288,0.962,0.07,0.553,0.562,0.088,0.32,0.05,0.081,0.801
2,Arden Heights,6532,0.495,0.505,40.9,0.119,0.796,0.014,0.063,0.05,89570,0.964,0.053,0.616,0.567,0.089,0.339,0.068,0.081,0.867
3,Astoria,34609,0.5,0.5,35.3,0.275,0.514,0.046,0.14,0.069,54882,0.813,0.161,0.379,0.347,0.161,0.43,0.025,0.091,0.516
4,Auburndale,5528,0.48,0.52,42,0.108,0.419,0.01,0.438,0.048,70772,0.873,0.08,0.632,0.531,0.155,0.37,0.045,0.082,0.681
5,Baisley Park,22271,0.462,0.538,34.4,0.131,0.009,0.727,0.05,0.081,59357,0.874,0.149,0.4,0.327,0.168,0.168,0.038,0.115,0.581
6,Bath Beach,11944,0.509,0.491,38.8,0.152,0.472,0.012,0.352,0.045,55193,0.884,0.158,0.567,0.535,0.251,0.301,0.032,0.111,0.618
7,Bay Ridge,35817,0.476,0.524,38.9,0.168,0.643,0.017,0.143,0.054,57980,0.896,0.17,0.504,0.434,0.142,0.43,0.035,0.096,0.624
8,Bayside-Bayside Hills,13058,0.48,0.52,42.5,0.149,0.415,0.017,0.386,0.054,79120,0.893,0.073,0.561,0.514,0.115,0.423,0.035,0.086,0.693
9,Bedford,53692,0.483,0.517,28.8,0.193,0.306,0.454,0.027,0.084,37343,0.89,0.343,0.325,0.264,0.225,0.284,0.028,0.102,0.522
10,Bedford Park-Fordham North,44154,0.485,0.515,31.9,0.717,0.07,0.157,0.042,0.1,29549,0.822,0.335,0.286,0.251,0.341,0.127,0.022,0.125,0.386
11,Bellerose,7221,0.485,0.515,40,0.198,0.306,0.057,0.398,0.041,77863,0.91,0.105,0.573,0.543,0.128,0.362,0.044,0.108,0.7
12,Belmont,21353,0.46,0.54,24.7,0.603,0.211,0.151,0.017,0.062,21924,0.83,0.461,0.264,0.201,0.391,0.11,0.015,0.132,0.311
