,NTA,Count
0,Allerton-Pelham Gardens,14091
1,Annadale-Huguenot-Prince's Bay-Eltingville,9225
2,Arden Heights,6532
3,Astoria,34609
4,Auburndale,5528
5,Baisley Park,22271
6,Bath Beach,11944
7,Bay Ridge,35817
8,Bayside-Bayside Hills,13058
9,Bedford,53692
10,Bedford Park-Fordham North,44154
11,Bellerose,7221
12,Belmont,21353
13,Bensonhurst East,19746
14,Bensonhurst West,27843
15,Borough Park,23705
16,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,732
17,Briarwood-Jamaica Hills,13519
18,Brighton Beach,15303
19,Bronxdale,20873
20,Brooklyn Heights-Cobble Hill,9276
21,Brownsville,68797
22,Bushwick North,33773
23,Bushwick South,51647
24,Cambria Heights,7288
25,Carroll Gardens-Columbia Street-Red Hook,23496
26,Central Harlem North-Polo Grounds,74597
27,Central Harlem South,50427
28,Charleston-Richmond Valley-Tottenville,8992
29,Chinatown,33812
30,Claremont-Bathgate,30766
31,Clinton,39215
32,Clinton Hill,22969
33,Co-op City,21272
34,Corona,13983
35,Crotona Park East,18951
36,Crown Heights North,98050
37,Crown Heights South,24981
38,Cypress Hills-City Line,30313
39,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,48265
40,Douglas Manor-Douglaston-Little Neck,5895
41,Dyker Heights,11609
42,East Concourse-Concourse Village,54874
43,East Elmhurst,11947
44,East Flatbush-Farragut,27851
45,East Flushing,5888
46,East Harlem North,74913
47,East Harlem South,46803
48,East New York,92864
49,East New York (Pennsylvania Ave),32238
50,East Tremont,40358
51,East Village,30709
52,East Williamsburg,25573
53,Eastchester-Edenwald-Baychester,18589
54,Elmhurst,37356
55,Elmhurst-Maspeth,9325
56,Erasmus,25431
57,Far Rockaway-Bayswater,27629
58,Flatbush,52956
59,Flatlands,32400
60,Flushing,31114
61,Fordham South,29259
62,Forest Hills,22561
63,Fort Greene,25569
64,Fresh Meadows-Utopia,4988
65,Ft. Totten-Bay Terrace-Clearview,3826
66,Georgetown-Marine Park-Bergen Beach-Mill Basin,21237
67,Glen Oaks-Floral Park-New Hyde Park,4918
68,Glendale,13482
69,Gramercy,19322
70,Grasmere-Arrochar-Ft. Wadsworth,7726
