AMTRACK	153,value
CONRAIL	14,value
DEPT OF CORRECTIONS	4825,value
DISTRICT ATTORNEY OFFICE	1,value
FIRE DEPT (FIRE MARSHAL)	514,value
HEALTH & HOSP CORP	2590,value
LONG ISLAND RAILRD	439,value
METRO NORTH	531,value
N.Y. HOUSING POLICE	390852,value
N.Y. POLICE DEPT	4538336,value
N.Y. STATE PARKS	272,value
N.Y. STATE POLICE	1209,value
N.Y. TRANSIT POLICE	108817,value
NEW YORK CITY SHERIFF OFFICE	134,value
NYC DEPT ENVIRONMENTAL PROTECTION	14,value
NYC PARKS	71,value
NYS DEPT ENVIRONMENTAL CONSERVATION	1,value
NYS DEPT TAX AND FINANCE	77,value
OTHER	13575,value
POLICE DEPT NYC	8986,value
PORT AUTHORITY	24657,value
SEA GATE POLICE DEPT	30,value
STATN IS RAPID TRANS	306,value
TRI-BORO BRDG TUNNL	4633,value
U.S. PARK POLICE	185,value
string	5101222,dtype
jurisdiction	5101222,stype
VALID	5101222,label
