ABANDONED BUILDING	1891,value
AIRPORT TERMINAL	14315,value
ATM	4267,value
BANK	21252,value
BAR/NIGHT CLUB	57065,value
BEAUTY & NAIL SALON	13027,value
BOOK/CARD	1647,value
BRIDGE	5490,value
BUS (NYC TRANSIT)	10581,value
BUS (OTHER)	2638,value
BUS STOP	4455,value
BUS TERMINAL	3618,value
CANDY STORE	6487,value
CEMETERY	668,value
CHAIN STORE	95079,value
CHECK CASHING BUSINESS	5587,value
CHURCH	9151,value
CLOTHING/BOUTIQUE	42178,value
COMMERCIAL BUILDING	131497,value
CONSTRUCTION SITE	8411,value
DEPARTMENT STORE	96971,value
DOCTOR/DENTIST OFFICE	12253,value
DRUG STORE	37479,value
DRY CLEANER/LAUNDRY	10278,value
FACTORY/WAREHOUSE	5522,value
FAST FOOD	22781,value
FERRY/FERRY TERMINAL	1344,value
FOOD SUPERMARKET	26976,value
GAS STATION	11889,value
GROCERY/BODEGA	56222,value
GYM/FITNESS FACILITY	16002,value
HIGHWAY/PARKWAY	14657,value
HOSPITAL	23594,value
HOTEL/MOTEL	19772,value
JEWELRY	3822,value
LIQUOR STORE	3224,value
LOAN COMPANY	378,value
MARINA/PIER	2162,value
MOSQUE	659,value
NULL	33278,value
OPEN AREAS (OPEN LOTS)	7973,value
OTHER	134762,value
OTHER HOUSE OF WORSHIP	755,value
PARK/PLAYGROUND	60933,value
PARKING LOT/GARAGE (PRIVATE)	29507,value
PARKING LOT/GARAGE (PUBLIC)	29840,value
PHOTO/COPY	718,value
PRIVATE/PAROCHIAL SCHOOL	6239,value
PUBLIC BUILDING	32796,value
PUBLIC SCHOOL	66521,value
RESIDENCE - APT. HOUSE	1054417,value
RESIDENCE - PUBLIC HOUSING	381744,value
RESIDENCE-HOUSE	504401,value
RESTAURANT/DINER	56371,value
SHOE	3600,value
SMALL MERCHANT	21960,value
SOCIAL CLUB/POLICY	3250,value
STORAGE FACILITY	4599,value
STORE UNCLASSIFIED	23687,value
STREET	1697933,value
SYNAGOGUE	1893,value
TAXI (LIVERY LICENSED)	4124,value
TAXI (YELLOW LICENSED)	4749,value
TAXI/LIVERY (UNLICENSED)	899,value
TELECOMM. STORE	6642,value
TRAMWAY	102,value
TRANSIT - NYC SUBWAY	106028,value
TRANSIT FACILITY (OTHER)	4244,value
TUNNEL	2751,value
VARIETY STORE	7267,value
VIDEO STORE	1950,value
string	5101222,dtype
description	5101222,stype
NULL	33278,label
VALID	5067944,label
